pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y
388.078376,381.614068,372.227746,188.424715,381.619192,323.795071,380.238266,277.537139,381.059690,314.190856,381.198874,307.238159,381.084916,300.212757,380.799242,293.442655,380.405303,287.157793
386.810000,386.980000,372.970000,188.000000,381.348241,327.728714,379.416841,278.019424,380.405303,320.557345,380.743042,310.449771,380.743042,302.621466,380.306818,295.597465,380.208333,288.594333
383.100000,379.100000,373.950000,188.010000,378.548415,321.217857,379.950000,278.000000,378.337121,315.709023,378.463881,309.847593,378.691797,301.216386,379.125000,295.238330,379.223485,286.080388
379.238602,381.156274,374.930000,188.010000,377.155303,323.250858,376.815665,278.019424,377.226377,314.914284,378.008049,309.245416,377.096385,301.216386,377.253788,295.597465,376.859848,287.696495
378.700000,379.270000,374.940000,188.010000,376.495312,316.354012,377.010000,278.000000,377.363281,312.985141,376.640553,306.635981,376.754511,300.614209,376.465909,294.699627,376.958333,287.157793
378.750000,380.200000,374.900000,188.020000,375.635066,316.619663,375.309721,278.019424,375.309721,312.743998,375.387015,307.438884,375.728889,298.205500,375.185606,294.699627,375.382576,287.696495
379.130000,381.160000,375.010000,188.010000,376.328697,332.029029,375.470000,278.000000,375.720433,315.637713,375.728889,308.643239,375.387015,299.610580,374.988636,295.597465,374.890152,287.157793
380.170000,380.730000,375.960000,188.010000,375.172817,322.630856,375.880000,278.000000,375.994241,313.467427,375.387015,308.041062,375.956805,299.409854,375.579545,293.622222,375.678030,286.439523
380.840000,381.300000,376.750000,188.030000,377.226377,327.694857,376.230000,278.000000,376.404953,315.637713,377.666175,307.840336,375.728889,299.409854,376.662879,293.442655,376.071970,286.978225
380.750000,380.920000,376.850000,188.020000,378.047801,319.978285,378.047801,278.019424,378.184705,313.708570,378.008049,304.829450,378.463881,296.599694,377.943182,291.467412,377.844697,284.823415
381.030000,380.960000,376.850000,188.020000,378.184705,322.148571,378.000000,278.000000,379.690650,314.431999,379.033671,306.033804,378.349923,297.603323,378.140152,292.006115,378.435606,285.002983
380.970000,380.950000,376.790000,188.020000,380.238266,323.595428,377.800000,278.000000,379.279937,314.914284,379.375545,306.033804,379.717419,297.804048,379.125000,292.365250,378.928030,285.541685
387.853571,382.365672,375.830000,188.020000,383.797770,325.765714,381.881114,276.813710,383.113250,312.985141,382.566370,306.234530,383.136160,295.796791,382.965909,290.928710,382.571970,284.284713
386.249457,387.107605,374.880000,188.020000,384.345386,329.141714,382.565634,278.019424,384.619195,318.531427,383.933866,310.851222,383.819908,301.417112,383.162879,294.699627,383.162879,285.002983
383.810899,377.036122,375.850000,188.020000,382.565634,324.318856,380.512074,278.742853,382.976346,314.431999,382.452412,308.442513,382.224496,299.409854,381.981061,293.442655,381.882576,285.900820
383.506079,382.529658,375.960000,188.010000,381.881114,326.971428,380.101362,278.019424,382.154922,317.807999,381.768664,310.851222,381.540748,299.610580,380.897727,293.622222,380.799242,285.900820
381.310000,376.470000,374.930000,188.010000,380.238266,324.077714,378.184705,278.260567,380.101362,313.467427,379.033671,308.041062,378.805755,297.804048,378.731061,292.903952,378.632576,285.002983
377.409683,381.614068,374.930000,188.010000,376.952569,327.212571,375.172817,280.189710,377.637089,314.190856,377.096385,310.249045,376.754511,299.409854,376.367424,295.058762,375.776515,287.696495
374.410000,381.600000,376.880000,188.020000,375.583529,328.659428,375.583529,278.742853,375.309721,314.914284,375.728889,307.840336,375.045141,300.212757,374.988636,293.442655,375.481061,286.978225
375.790000,382.490000,377.990000,188.020000,376.404953,327.212571,376.131145,277.537139,377.226377,316.361142,375.956805,310.249045,376.412637,301.818563,376.367424,294.699627,376.564394,286.439523
377.590000,386.850000,378.000000,188.020000,378.595417,332.035428,378.458513,277.295996,378.595417,318.772570,378.463881,311.654125,378.691797,301.818563,378.534091,295.058762,378.928030,287.696495
379.890000,382.200000,377.900000,188.020000,379.690650,327.212571,377.363281,277.537139,379.827554,316.361142,379.033671,311.051948,379.717419,300.814935,378.829545,294.520060,378.731061,286.978225
381.120000,386.670000,376.890000,188.020000,380.648978,332.758857,378.184705,278.260567,380.922786,319.978285,380.515126,311.453399,379.375545,302.621466,379.420455,295.777032,380.109848,286.439523
379.848241,376.120532,375.010000,188.010000,377.773993,322.630856,377.226377,277.295996,378.184705,314.190856,377.324301,309.646868,378.349923,301.216386,377.943182,294.520060,378.041667,286.439523
379.848241,377.493916,374.930000,188.020000,377.363281,323.354285,375.172817,278.019424,378.047801,316.361142,377.324301,309.646868,376.754511,301.216386,377.253788,295.597465,376.859848,287.516928
387.017857,371.383914,374.950000,188.020000,380.922786,317.084570,378.458513,278.260567,380.512074,309.850284,380.059293,303.825821,379.033671,296.599694,379.617424,291.467412,379.026515,285.002983
386.182143,377.373964,375.850000,188.020000,381.470402,318.531427,380.238266,278.019424,382.565634,311.538284,381.540748,306.033804,380.401168,297.201871,381.094697,291.467412,380.700758,285.002983
380.332143,384.362355,375.910000,188.020000,379.827554,326.247999,380.101362,278.019424,379.006129,313.708570,378.691797,308.442513,379.375545,297.804048,379.912879,293.442655,379.223485,286.080388
382.839286,384.362355,375.890000,188.020000,381.333498,325.524571,379.690650,278.260567,380.238266,315.637713,380.059293,308.643239,379.033671,300.614209,379.912879,293.981357,379.026515,286.080388
382.003571,393.347430,375.950000,188.020000,382.976346,333.723429,380.512074,276.090281,383.113250,322.871999,383.250118,314.665011,382.110538,305.632353,382.375000,297.213572,381.587121,286.439523
381.981980,386.649810,375.830000,188.020000,383.387058,328.659428,380.512074,277.537139,381.333498,320.942856,381.768664,312.657754,382.110538,303.223644,381.685606,296.136167,380.503788,286.439523
383.410000,393.490000,374.870000,188.020000,383.113250,336.376000,381.059690,276.813710,382.976346,325.765714,382.224496,313.460657,382.110538,304.427998,382.276515,296.136167,381.094697,286.619090
387.017857,383.364013,375.890000,188.020000,383.797770,329.141714,381.881114,276.813710,383.797770,319.495999,382.794286,311.654125,381.768664,301.818563,382.375000,295.058762,382.473485,286.439523
385.346429,385.360697,376.000000,188.010000,382.291826,329.382857,380.648978,276.572567,381.881114,317.807999,381.084916,309.245416,379.831377,301.818563,380.602273,294.699627,380.503788,286.439523
379.496429,382.365672,374.830000,188.010000,378.458513,324.077714,377.226377,276.572567,378.595417,313.708570,377.438259,304.829450,376.640553,298.205500,376.662879,293.083520,377.155303,285.362118
382.003571,372.382255,373.840000,188.010000,376.404953,318.290285,373.666872,276.090281,375.994241,310.573713,375.387015,303.223644,375.614931,295.796791,375.481061,291.826547,374.594697,284.284713
383.506079,373.373764,374.970000,188.010000,375.994241,321.183999,373.940680,276.813710,376.404953,311.297141,375.387015,303.223644,375.045141,295.796791,375.875000,291.826547,374.890152,285.900820
380.960000,369.100000,375.870000,188.020000,374.488297,318.290285,375.172817,273.919996,375.583529,307.921141,374.931183,301.216386,375.273057,294.592437,375.481061,290.390007,375.973485,282.848173
379.238602,382.529658,373.930000,188.010000,376.952569,326.971428,374.899009,276.813710,374.899009,313.708570,375.387015,305.431627,374.589309,295.796791,375.284091,290.390007,375.382576,283.207308
