pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y
388.078376,220.385932,372.227746,413.575285,381.619192,278.204929,380.238266,324.462861,381.059690,287.809144,381.198874,294.761841,381.084916,301.787243,380.799242,308.557345,380.405303,314.842207
386.810000,215.020000,372.970000,414.000000,381.348241,274.271286,379.416841,323.980576,380.405303,281.442655,380.743042,291.550229,380.743042,299.378534,380.306818,306.402535,380.208333,313.405667
383.100000,222.900000,373.950000,413.990000,378.548415,280.782143,379.950000,324.000000,378.337121,286.290977,378.463881,292.152407,378.691797,300.783614,379.125000,306.761670,379.223485,315.919612
379.238602,220.843726,374.930000,413.990000,377.155303,278.749142,376.815665,323.980576,377.226377,287.085716,378.008049,292.754584,377.096385,300.783614,377.253788,306.402535,376.859848,314.303505
378.700000,222.730000,374.940000,413.990000,376.495312,285.645988,377.010000,324.000000,377.363281,289.014859,376.640553,295.364019,376.754511,301.385791,376.465909,307.300373,376.958333,314.842207
378.750000,221.800000,374.900000,413.980000,375.635066,285.380337,375.309721,323.980576,375.309721,289.256002,375.387015,294.561116,375.728889,303.794500,375.185606,307.300373,375.382576,314.303505
379.130000,220.840000,375.010000,413.990000,376.328697,269.970971,375.470000,324.000000,375.720433,286.362287,375.728889,293.356761,375.387015,302.389420,374.988636,306.402535,374.890152,314.842207
380.170000,221.270000,375.960000,413.990000,375.172817,279.369144,375.880000,324.000000,375.994241,288.532573,375.387015,293.958938,375.956805,302.590146,375.579545,308.377778,375.678030,315.560477
380.840000,220.700000,376.750000,413.970000,377.226377,274.305143,376.230000,324.000000,376.404953,286.362287,377.666175,294.159664,375.728889,302.590146,376.662879,308.557345,376.071970,315.021775
380.750000,221.080000,376.850000,413.980000,378.047801,282.021715,378.047801,323.980576,378.184705,288.291430,378.008049,297.170550,378.463881,305.400306,377.943182,310.532588,377.844697,317.176585
381.030000,221.040000,376.850000,413.980000,378.184705,279.851429,378.000000,324.000000,379.690650,287.568001,379.033671,295.966196,378.349923,304.396677,378.140152,309.993885,378.435606,316.997017
380.970000,221.050000,376.790000,413.980000,380.238266,278.404572,377.800000,324.000000,379.279937,287.085716,379.375545,295.966196,379.717419,304.195952,379.125000,309.634750,378.928030,316.458315
379.700000,220.910000,375.830000,413.980000,383.797770,276.234286,381.881114,325.186290,383.113250,289.014859,382.566370,295.765470,383.136160,306.203209,382.965909,311.071290,382.571970,317.715287
386.249457,214.892395,374.880000,413.980000,384.345386,272.858286,382.565634,323.980576,384.619195,283.468573,383.933866,291.148778,383.819908,300.582888,383.162879,307.300373,383.162879,316.997017
383.810899,224.963878,375.850000,413.980000,382.565634,277.681144,380.512074,323.257147,382.976346,287.568001,382.452412,293.557487,382.224496,302.590146,381.981061,308.557345,381.882576,316.099180
383.506079,219.470342,375.960000,413.990000,381.881114,275.028572,380.101362,323.980576,382.154922,284.192001,381.768664,291.148778,381.540748,302.389420,380.897727,308.377778,380.799242,316.099180
381.310000,225.530000,374.930000,413.990000,380.238266,277.922286,378.184705,323.739433,380.101362,288.532573,379.033671,293.958938,378.805755,304.195952,378.731061,309.096048,378.632576,316.997017
377.409683,220.385932,374.930000,413.990000,376.952569,274.787429,375.172817,321.810290,377.637089,287.809144,377.096385,291.750955,376.754511,302.590146,376.367424,306.941238,375.776515,314.303505
374.410000,220.400000,376.880000,413.980000,375.583529,273.340572,375.583529,323.257147,375.309721,287.085716,375.728889,294.159664,375.045141,301.787243,374.988636,308.557345,375.481061,315.021775
375.790000,219.510000,377.990000,413.980000,376.404953,274.787429,376.131145,324.462861,377.226377,285.638858,375.956805,291.750955,376.412637,300.181437,376.367424,307.300373,376.564394,315.560477
377.590000,215.150000,378.000000,413.980000,378.595417,269.964572,378.458513,324.704004,378.595417,283.227430,378.463881,290.345875,378.691797,300.181437,378.534091,306.941238,378.928030,314.303505
379.890000,219.800000,377.900000,413.980000,379.690650,274.787429,377.363281,324.462861,379.827554,285.638858,379.033671,290.948052,379.717419,301.185065,378.829545,307.479940,378.731061,315.021775
381.120000,215.330000,376.890000,413.980000,380.648978,269.241143,378.184705,323.739433,380.922786,282.021715,380.515126,290.546601,379.375545,299.378534,379.420455,306.222968,380.109848,315.560477
379.848241,225.879468,375.010000,413.990000,377.773993,279.369144,377.226377,324.704004,378.184705,287.809144,377.324301,292.353132,378.349923,300.783614,377.943182,307.479940,378.041667,315.560477
379.848241,224.506084,374.930000,413.980000,377.363281,278.645715,375.172817,323.980576,378.047801,285.638858,377.324301,292.353132,376.754511,300.783614,377.253788,306.402535,376.859848,314.483072
380.050000,225.140000,374.950000,413.980000,380.922786,284.915430,378.458513,323.739433,380.512074,292.149716,380.059293,298.174179,379.033671,305.400306,379.617424,310.532588,379.026515,316.997017
380.690000,225.220000,375.850000,413.980000,381.470402,283.468573,380.238266,323.980576,382.565634,290.461716,381.540748,295.966196,380.401168,304.798129,381.094697,310.532588,380.700758,316.997017
